column,n_missing,n_infinite,min,max
volatility,0,0,0.09839370573311025,0.4775032072894054
mdd,0,0,0.06921462411268586,0.32384936153484134
beta,0,0,0.4018408373766195,1.715406495733105
sector_hhi,0,0,0.12221510148897827,0.9753649571085432
