ticker,n_days,coverage,kept
ALNY,252,1.0,True
ALOY,252,1.0,True
ALRM,252,1.0,True
ALRS,252,1.0,True
ALSN,252,1.0,True
ALT,252,1.0,True
ALTG,252,1.0,True
ALTI,252,1.0,True
ALTL,252,1.0,True
ALTO,252,1.0,True
ALV,252,1.0,True
ALX,252,1.0,True
ALXO,252,1.0,True
ALZN,252,1.0,True
AM,252,1.0,True
AM6,0,0.0,False
AMAL,252,1.0,True
AMAT,252,1.0,True
AMAX,252,1.0,True
AMBQ,168,0.6666666666666666,False
AMBR,252,1.0,True
AMC,252,1.0,True
AMCX,252,1.0,True
AMD,252,1.0,True
AMDG,252,1.0,True
AMDL,252,1.0,True
AMDW,172,0.6825396825396826,False
AMDY,252,1.0,True
AME,252,1.0,True
AMG,252,1.0,True
AMGN,252,1.0,True
AMH,252,1.0,True
AMID,252,1.0,True
AMJB,252,1.0,True
AMKR,252,1.0,True
AMLP,252,1.0,True
AMLX,252,1.0,True
AMN,252,1.0,True
AMP,252,1.0,True
AMPG,252,1.0,True
AMPH,252,1.0,True
AMPL,252,1.0,True
AMPX,252,1.0,True
AMPY,252,1.0,True
AMR,252,1.0,True
AMRC,252,1.0,True
AMRN,252,1.0,True
AMRX,252,1.0,True
AMS,252,1.0,True
AMSC,252,1.0,True
AMSF,252,1.0,True
AMT,252,1.0,True
AMTB,252,1.0,True
AMTD,252,1.0,True
AMTM,252,1.0,True
AMTX,252,1.0,True
AMWL,252,1.0,True
AMX,252,1.0,True
AMZA,252,1.0,True
AMZN,252,1.0,True
AMZP,252,1.0,True
AMZU,252,1.0,True
AMZW,196,0.7777777777777778,False
AMZZ,252,1.0,True
AN,252,1.0,True
ANAB,252,1.0,True
ANDE,252,1.0,True
ANDG,70,0.2777777777777778,False
ANET,252,1.0,True
ANF,252,1.0,True
ANGI,252,1.0,True
ANGL,252,1.0,True
ANGO,252,1.0,True
ANGX,138,0.5476190476190477,False
ANIK,252,1.0,True
ANIP,252,1.0,True
ANIX,252,1.0,True
ANL,252,1.0,True
ANNX,252,1.0,True
ANRO,252,1.0,True
ANTX,252,1.0,True
ANVS,252,1.0,True
AOA,252,1.0,True
AOCT,252,1.0,True
AOHY,252,1.0,True
AOK,252,1.0,True
AOM,252,1.0,True
AOMR,252,1.0,True
AOR,252,1.0,True
AORT,252,1.0,True
AOS,252,1.0,True
AOUT,252,1.0,True
AP,252,1.0,True
APA,252,1.0,True
APAM,252,1.0,True
APC,32,0.12698412698412698,False
APD,252,1.0,True
APEI,252,1.0,True
APG,252,1.0,True
APGE,252,1.0,True
APH,252,1.0,True
API,252,1.0,True
APLD,252,1.0,True
APLE,252,1.0,True
APLSUSD,0,0.0,False
APLU,252,1.0,True
APLY,252,1.0,True
APO,252,1.0,True
APOC,252,1.0,True
APOG,252,1.0,True
APP,252,1.0,True
APPF,252,1.0,True
APPN,252,1.0,True
APPS,252,1.0,True
APPX,233,0.9246031746031746,True
APRE,252,1.0,True
APRH,252,1.0,True
APRP,252,1.0,True
APRT,252,1.0,True
APRW,252,1.0,True
APT,252,1.0,True
APVO,252,1.0,True
APYX,252,1.0,True
AQB,252,1.0,True
AQN,252,1.0,True
AQST,252,1.0,True
AQWA,252,1.0,True
AR,252,1.0,True
ARAI,219,0.8690476190476191,False
ARAY,252,1.0,True
ARB,252,1.0,True
ARCB,252,1.0,True
ARCC,252,1.0,True
ARCT,252,1.0,True
ARCX,202,0.8015873015873016,False
ARDC,252,1.0,True
ARDT,252,1.0,True
ARDX,252,1.0,True
ARE,252,1.0,True
AREC,252,1.0,True
ARES,252,1.0,True
ARGT,252,1.0,True
ARGX,252,1.0,True
ARHS,252,1.0,True
ARI,252,1.0,True
ARIS,252,1.0,True
ARKB,252,1.0,True
ARKF,252,1.0,True
ARKG,252,1.0,True
ARKK,252,1.0,True
ARKO,252,1.0,True
ARKQ,252,1.0,True
ARKR,252,1.0,True
ARKW,252,1.0,True
ARKX,252,1.0,True
ARL,252,1.0,True
ARLO,252,1.0,True
ARLP,252,1.0,True
ARM,252,1.0,True
ARMG,252,1.0,True
ARMK,252,1.0,True
ARMP,252,1.0,True
AROC,252,1.0,True
AROW,252,1.0,True
ARP,252,1.0,True
ARQ,252,1.0,True
ARQT,252,1.0,True
ARR,252,1.0,True
ARRY,252,1.0,True
ARTNA,252,1.0,True
ARTV,252,1.0,True
ARTW,252,1.0,True
ARTY,252,1.0,True
ARVN,252,1.0,True
ARW,252,1.0,True
ARWR,252,1.0,True
ASAN,252,1.0,True
ASB,252,1.0,True
ASEA,252,1.0,True
ASG,252,1.0,True
ASGI,252,1.0,True
ASH,252,1.0,True
ASHR,252,1.0,True
ASIC,201,0.7976190476190477,False
ASIX,252,1.0,True
ASLE,252,1.0,True
ASM,252,1.0,True
ASMB,252,1.0,True
ASMG,252,1.0,True
ASO,252,1.0,True
ASPI,252,1.0,True
