label,cik,in_final_100,manager_name,cluster_id,risk_profile,volatility,mdd,beta,sector_hhi
Berkshire Hathaway Inc,0001067983,True,Berkshire Hathaway Inc,2,BALANCED,0.19721211389580337,0.15782689083930934,0.9033439380364665,0.22270734442039208
ARK Investment Management LLC,0001697748,True,ARK Investment Management LLC,1,AGGRESSIVE,0.37719963316991273,0.20938637004115856,1.715406495733105,0.19063054042581404
Duquesne Family Office LLC (Druckenmiller),0001536411,True,Duquesne Family Office LLC,2,BALANCED,0.2728805440846257,0.14369429849109683,1.22703187375873,0.25258329406547314
"Bridgewater Associates, LP",0001350694,True,"Bridgewater Associates, LP",2,BALANCED,0.23292444857818279,0.13360583419589311,1.1760990122671313,0.16889857752258755
Renaissance Technologies LLC,0001037389,True,RENAISSANCE TECHNOLOGIES LLC,2,BALANCED,0.20373802889967466,0.13367955892813543,1.0026044943526142,0.12221510148897827
Baupost Group LLC/MA,0001061768,True,BAUPOST GROUP LLC/MA,2,BALANCED,0.19481253107183555,0.11377466472223519,0.8738775073011286,0.22810881608769262
"Pershing Square Capital Management, L.P.",0001336528,True,"Pershing Square Capital Management, L.P.",2,BALANCED,0.22845874874885908,0.18997923627958113,1.085308080025568,0.23754484548532404
