Ticker,Sector,Sigma,MDD,Beta
CTVA,Materials,0.272509,-0.36813,0.669964
CVS,Health Care,0.31459,-0.590537,0.395939
CVX,Energy,0.229427,-0.265784,0.620228
D,Utilities,0.234697,-0.366958,0.371775
DAL,Industrials,0.382707,-0.494817,1.432651
DASH,Consumer Discretionary,0.411085,-0.301017,1.506692
DAY,Industrials,0.398224,-0.458687,1.44831
DD,Materials,0.288008,-0.396616,1.127691
DDOG,Information Technology,0.487452,-0.500229,1.607291
DE,Industrials,0.260039,-0.247947,0.763689
DECK,Consumer Discretionary,0.438581,-0.691409,1.267853
DELL,Information Technology,0.487258,-0.652926,1.663284
DG,Consumer Staples,0.40901,-0.7799,0.124992
DGX,Health Care,0.205506,-0.229431,0.30467
DHI,Consumer Discretionary,0.33442,-0.430434,0.777548
DHR,Health Care,0.27568,-0.391096,0.936462
DIS,Communication Services,0.291553,-0.352235,1.008257
DLR,Real Estate,0.296061,-0.307963,1.021527
DLTR,Consumer Staples,0.393932,-0.691236,0.637505
DOC,Real Estate,0.258185,-0.441129,0.728875
DOV,Industrials,0.24334,-0.276278,1.07052
DOW,Materials,0.330814,-0.662774,1.113728
DPZ,Consumer Discretionary,0.286788,-0.283573,0.658562
DRI,Consumer Discretionary,0.233307,-0.217454,0.596553
DTE,Utilities,0.186866,-0.209652,0.331105
DUK,Utilities,0.173816,-0.175704,0.150305
DVA,Health Care,0.329759,-0.368702,0.596667
DVN,Energy,0.351402,-0.640298,1.087971
DXCM,Health Care,0.509371,-0.723985,0.875388
EA,Communication Services,0.250795,-0.320364,0.504215
EBAY,Consumer Discretionary,0.314063,-0.272454,0.8208
ECL,Materials,0.207933,-0.175667,0.704701
ED,Utilities,0.182988,-0.178271,0.076976
EFX,Industrials,0.327315,-0.35853,1.206493
EG,Financials,0.260089,-0.287745,0.487649
EIX,Utilities,0.26586,-0.466596,0.600939
EL,Consumer Staples,0.462265,-0.856196,1.305667
ELV,Health Care,0.286969,-0.536639,0.301176
EME,Industrials,0.355361,-0.391342,1.208753
EMN,Materials,0.318327,-0.514237,1.167285
EMR,Industrials,0.263186,-0.309263,1.13036
EOG,Energy,0.279666,-0.313683,0.723688
EPAM,Information Technology,0.451619,-0.718236,1.361127
EQIX,Real Estate,0.262196,-0.257077,0.879327
EQR,Real Estate,0.222528,-0.231539,0.7428
EQT,Energy,0.373445,-0.373373,0.93262
ERIE,Financials,0.304884,-0.499767,0.489256
ES,Utilities,0.241547,-0.384368,0.450587
ESS,Real Estate,0.242423,-0.210277,0.794161
ETN,Industrials,0.306513,-0.368464,1.315251
ETR,Utilities,0.222215,-0.239868,0.448847
EVRG,Utilities,0.186261,-0.248124,0.309704
EW,Health Care,0.344735,-0.448139,0.755635
EXC,Utilities,0.197601,-0.230425,0.193589
EXE,Energy,0.297735,-0.325189,0.763522
EXPD,Industrials,0.24319,-0.225029,0.782224
EXPE,Consumer Discretionary,0.419789,-0.349068,1.407098
EXR,Real Estate,0.284878,-0.386933,0.751439
F,Consumer Discretionary,0.360585,-0.430549,1.099329
FANG,Energy,0.329092,-0.4523,0.932185
FAST,Industrials,0.232623,-0.208388,0.752856
FCX,Materials,0.407376,-0.504278,1.485125
FDS,Financials,0.237786,-0.480337,0.698316
FDX,Industrials,0.307357,-0.388343,0.976661
FE,Utilities,0.192665,-0.231454,0.284573
FFIV,Information Technology,0.273652,-0.283582,1.075948
FI,Financials,0.444606,-0.811238,0.774787
FICO,Information Technology,0.394131,-0.492414,1.208096
FIS,Financials,0.299001,-0.40975,0.805975
FITB,Financials,0.316582,-0.406624,1.139577
FOX,Communication Services,0.251296,-0.24739,0.756839
FOXA,Communication Services,0.253518,-0.238103,0.739892
FRT,Real Estate,0.225839,-0.283548,0.784907
FSLR,Information Technology,0.554502,-0.644567,1.14055
FTNT,Information Technology,0.417466,-0.425146,1.153798
FTV,Industrials,0.239727,-0.312756,1.034754
GD,Industrials,0.191489,-0.231128,0.516756
GDDY,Information Technology,0.282703,-0.438825,0.885362
GE,Industrials,0.285255,-0.221981,1.071171
GEHC,Health Care,0.325043,-0.411643,1.182226
GEN,Information Technology,0.296029,-0.362812,0.88646
GEV,Industrials,0.531685,-0.429099,1.832554
